"","summary"
"582","06/13/2011: On Monday, in Ja'ar, Abyan, Yemen, Al Qaida Organization in the Arabian Peninsula (AQAP) militants kidnapped 10 Yemeni soldiers and took them to an unknown location. The status of the hostages and outcome of the kidnapping is unknown. No casualties were reported and the AQAP claimed responsibility for the hostage taking by announcing it over a loudspeaker in Ja'ar city."
"583","06/15/2011: On Wednesday, across Lahij, Yemen, suspected Al Qaeda Organization in the Arabian Peninsula (AQAP) militants attacked police stations and intelligence headquarters in an attempt to seize the city. The gunmen used heavy machine guns and artillery. Three guards were killed and four more were wounded. The attack caused an unknown amount of property damage and no group claimed responsibility."
"584","06/28/2011: On Tuesday, in Aden, Adan, Yemen, unknown militants detonated an improvised explosive device attached to the car of Colonel Khaled al-Yafii, a senior military officer. The blast killed the officer while he was in front of his home and destroyed his car. No group claimed responsibility, although Al Qaeda Organization in the Arabian Peninsula (AQAP) was suspected."
"585","06/29/2011: On Wednesday, in Zinjibar, Abyan, Yemen, suspected Al Qaeda Organization in the Arabian Peninsula (AQAP) militants kidnapped 50 civilians accused of allegedly passing information to pro-government authorities. All hostages were released later that day and warned by the militants that they would face execution if found guilty of making contact with the government. No group claimed responsibility."
"586","07/02/2011: On Saturday, in Zinjibar, Abyan, Yemen, suspected Al Qaeda Organization in the Arabian Peninsula (AQAP) militants took hostage 50 Yemeni troops of the 25th Mechanized Brigade, after combat on 07/01/2011. The status of the hostages is unknown. No group claimed responsibility, although AQAP is suspected."
"587","07/04/2011: On Monday evening, in Zinjibar, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) gunmen attacked the 25th Mechanized Brigade. Twelve suspected AQAP gunmen were killed, along with seven soldiers. Dozens of gunmen and soldiers were also wounded in the attack. No group claimed responsibility, although AQAP is suspected."
"588","07/04/2011: On Monday morning at 1100, in Tizi Ouzou, Tizi, Ouzou, Algeria, three suspected Al Qaeda in the Islamic Maghreb (AQIM) militants opened fire on traffic policemen, killing one and wounding another. One militant was also killed in the attack. No group claimed responsibility, although Al Qaeda in the Islamic Maghreb is suspected."
"589","07/05/2011: On Tuesday, near the town of Bessiknou, Hodh Ech Chargui, Mauritania, four soldiers were wounded when unidentified militants attacked a Mauritanian military base with armored militant vehicles and unknown firearms. It is unknown if the attack caused any property damage. The militant group Al-Qaeda in the Islamic Maghreb (AQIM) claimed responsibility for the attack to Nouakchott Information Agency through a spokesman."
"590","07/06/2011: On Wednesday, on a road in Laoder, Abyan, Yemen, suspected al-Qaeda in the Arabian Peninsula (AQAP) militants opened fire on a vehicle of Yemeni soldiers during an ambush. All 10 soldiers were killed, while the driver was left injured. The suspects prevented people from carrying away the soldiers' bodies, but allowed the driver to go to the hospital. Witnesses claim there were three armed men shooting. No group claimed responsibility, although AQAP was suspected."
"591","07/06/2011: On Wednesday, in Zinjibar, Abyan, Yemen, three high-profile al-Qaeda in the Arabian Peninsula (AQAP) militants were killed by Yemen Security Forces during an attempted attack on the 25th Mechanized Brigade. The militants were identified as Waleed Osairi, thought to be one of the leading al-Qaeda field commanders and a senior AQAP commander, Ali Mubarak Firas al-Juhmi, thought to be the AQAP commander in Marib, and Shaif al-Jarbou Hijazi. Osairi was on the Yemeni and Saudi most wanted terror list. The attack resulted in no military casualties and no group claimed responsibility, although the AQAP is suspected."
"592","07/14/2011: On Thursday, in an unspecified area of Abyan, Yemen, suspected al-Qaeda in the Arabian Peninsula (AQAP) militants attacked a hospital by unknown means. It is unknown if the attack caused any damage and no casualties were reported. The militants also kidnapped a hospital medical employee during the attack. The status of the hostage is unknown and no group claimed responsibility, although AQAP was suspected."
"593","07/16/2011: On Saturday morning, in Bordj Menaiel, Boumerdes, Algeria, an unknown number of casualties were reported when a militant detonated a suicide vehicle borne improvised explosive device (SVBIED) targeting emergency responders in a public square. The militant drove the motorcycle SVBIED into a crowd of emergency responders that had responded to an earlier SVBIED that had targeted a police office building. One motorcycle was destroyed and an unknown amount of material damage was inflicted on the surrounding area. No group claimed responsibility, but the militant group Al-Qaeda in the Islamic Maghreb (AQIM) was thought to be responsible for the attack."
"594","07/20/2011: On Wednesday, near a hotel in the Moalla area of Aden, Adan, Yemen, explosives planted by unidentified assailants detonated inside the car of a British maritime expert when he started his car, killing him and wounding a civilian passing by. The victim was identified as David Mockett, and worked for Arabian Marine Surveyors. The attack caused an unknown amount of property damage to the vehicle and the windows in nearby buildings were shattered in the blast. No group claimed responsibility, although al-Qaeda in the Arabian Peninsula (AQAP) was suspected."
"595","07/24/2011: On Sunday, in the al-Mansoura neighborhood, Aden, Adan, Yemen, a suspected Al Qaeda in the Arabian Peninsula (AQAP) suicide bomber, Turki Al Shahrani, detonated his suicide vehicle borne improvised explosive device targeting a military patrol near the Defense Air Forces base. The blast killed five soldiers, wounded 25 and caused an unknown amount of property damage. Al Qaeda in the Arabian Peninsula later claimed responsibility through a videotape released showing the bombing."
"596","07/26/2011: On Tuesday, in Zinjibar, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) militants attacked the 25th Mechanized Brigade. Soldiers discovered the assailants and retaliated, killing 12 of the militants. No group claimed responsibility."
"597","08/13/2011: On Saturday morning, in Lahore, Punjab, Pakistan, eight unidentified, armed militants kidnapped Warren Weinstein, a 70-year-old American employed by the JE Austin Associates Inc., from his residence after overpowering his three body guards. In December 2011, al Qaida leader Ayman al-Zawahiri released an audio recording claiming responsibility for the kidnapping and stating that Weinstein would be released if a number of demands were met, including the release of prisoners and an end to bombing in Pakistan, Afghanistan, Yemen, Somalia, and Gaza. In May and September 2012, al Qaida released videos of Weinstein asking authorities to negotiate his release. In August 2014 al Qaida released another statement encouraging Weinstein's family to pressure the US government to negotiate for his release. In January 2015 an anti-terrorism court in Pakistan sentenced convicted kidnapper Hafiz Imran to death. Weinstein was accidentally killed in a United States air strike on January 14, 2015."
"598","08/14/2011: On Sunday night, in the Matamma district, Al Jawf, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) militants detonated a vehicle borne improvised explosive device targeting a government building held by Shia Houthi fighters. The blast killed 14 Shia Houthi rebels, wounded five others, and caused an unknown amount of property damage to the building. No group claimed responsibility."
"599","08/16/2011: On Tuesday, in Jalawlah, Diyala, Iraq, suspected al-Qaeda in Iraq (AQI) militants strapped an explosives vest onto an agricultural engineer and detonated it on the main street in the town, killing him. The victim was identified as Ahmed Mohammed. No damage was reported and no group claimed responsibility, although al-Qaeda in Iraq is suspected."
"600","08/17/2011: On Wednesday, in the village of Tala Bounane near Tizi OUzou, Tizi Ouzou, Algeria, one bus driver and the driver for a local police chief was killed and two policemen were injured when militants fired upon a police car that the police chief was traveling in. The driver of the bus was killed as the bus passed the scene of the attack. No group has claimed responsibility, but the militant group Al-Qaeda in Islamic Maghreb (AQIM) was thought responsible for the attack."
"601","08/17/2011: On Wednesday, in Shaqra, Abyan, Yemen, suspected al-Qaeda in the Arabian Peninsula (AQAP) militants in seven cars seized the town, including the police station and a complex of government offices, with unknown weapons and with little resistance. No damage or casualties were reported and no group claimed responsibility."
"602","08/21/2011: On Sunday, in Moudia, Abyan, Yemen, a suicide bomber walked up to several people including a leading local leader of the ruling party shook their hands and then standing in their midst detonated his suicide vest. An unknown amount of damage was caused and five people including the leader and the bomber were killed. Al-Qaeda in the Arabian Peninsula (AQAP) claimed responsibility in letters sent to the tribal chieftains of Arqoup."
"603","08/21/2011: On Sunday, in the Arqoup area of Zinjibar, Abyan, Yemen, a suicide bomber drove his vehicle borne improvised explosive device up to a checkpoint manned by government supported tribesmen militia and blew himself up, causing an unknown amount of damage. Nine tribesmen were killed and five more were injured in the blast. Al-Qaeda in the Arabian Peninsula (AQAP) claimed responsibility in letters sent to the tribal chieftains of Arqoup."
"604","08/23/2011: On Tuesday evening, in an unspecified area of Abyan, Yemen, suspected Al Qaeda militants attacked a government military base of Brigade 211 in Abyan. In the attack, six soldiers and eight militants were killed and twenty-eight solders were injured. No damages were reported and no group claimed responsibility, although al-Qaeda in the Arabian Peninsula (AQAP) is suspected."
"605","08/24/2011: On Wednesday morning, in Shaqra, Abyan, Yemen, a roadside improvised explosive device was detonated near tribal fighters who were loyal to the government. No damage was reported and no group claimed responsibility, although al-Qaeda in the Arabian Peninsula (AQAP) is suspected."
"606","08/27/2011: On Saturday morning, on the main road in Al Sa idiyah, Diyala, Iraq, suspected Islamic State of Iraq gunmen attacked the Chairman of the Security Committee of Sa diyah Township's Supporting Council, Salam Mohammed Hassan. The chairman was killed in the attack. No group claimed responsibility."
"607","08/27/2011: On Saturday, near Dofes village near Zinjibar, Abyan, Yemen, suspected al-Qaeda in the Arabian Peninsula (AQAP) militants opened fire on a military convoy with heavy machine guns and rocket propelled grenades. Seven soldiers and one militant were killed, and six soldiers were wounded in the attack. No damage was reported and no group claimed responsibility, although AQAP is suspected."
"608","08/29/2011: On Monday, in Dufas, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) militants attacked Yemeni soldiers. The attack killed 26 militants and 10 soldiers, and also wounded 38 militants and 30 soldiers. No group claimed responsibility, although AQAP is suspected."
"609","08/31/2011: On Wednesday night, in Zinjibar, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) militants opened fire targeting Yemeni soldiers. The attack prompted the soldiers to return fire on the militants. Three soldiers and 15 militants were killed in the attack. No group claimed responsibility."
"610","09/06/2011: On Tuesday in Zinjibar, Abyan, Yemen, Al Qaeda Organization in the Arabian Peninsula (AQAP) gunman torched several Yemeni military vehicles and planted mines in the road. Six AQAP militants died along with four Yemeni soldiers. AQAP claimed responsibility for the attack by unknown means."
"611","09/06/2011: On Tuesday, in the town of Rowda in an unspecified city in Shabwah, Yemen, unidentified militants attacked Yemeni soldiers during their seizure of the town. The attack caused an unknown amount of casualties and damages. No group claimed responsibility for the attack, although al-Qaeda in the Arabian Peninsula (AQAP) is suspected."
"612","09/11/2011: On Sunday in Zinjibar, Abyan, Yemen, a roadside bomb went off killing two Yemeni Soldiers and injuring two others. The attack caused an unknown amount of property damage and the Al Qaeda in the Arabian Peninsula claimed responsibility by unknown means."
"613","09/11/2011: On Sunday in Zinjibar, Abyan, Yemen, an al Qaeda planted land-mine struck an army convoy killing three troops and injuring four. Three militants were also killed. Al Qaeda Organization in the Arabian Peninsula (AQAP) claimed responsibility for the attack by unknown means."
"614","09/11/2011: On Sunday evening, in Aden, Adan, Yemen, a high ranking Yemeni intelligence officer was killed when Al Qaeda Organization in the Arabian Peninsula (AQAP) militants opened fire on his car. The militants managed to flee after killing the officer. No group claimed responsibility for the attack, but AQAP is suspected."
"615","09/14/2011: On Wednesday morning at 0830, in al-Shumali, Babil, Iraq, suspected Islamic State of Iraq militants detonated a vehicle borne improvised explosive device targeting the Ehsan tourist restaurant. The blast killed five civilians, wounded 41 others, and destroyed the front of the restaurant and set multiple nearby cars on fire. No group claimed responsibility."
"616","09/17/2011: On Saturday evening, in Zinjibar, Abyan, Yemen, Al Qaeda Organization in the Arabian Peninsula (AQAP) militants opened fire on Yemeni Army forces in the eastern part of the area with automatic weapons. Army units were carrying out military operations during the attack. One soldier was killed and seven others were injured. No damages were reported and no group claimed responsibility, but AQAP militants are suspected."
"617","09/24/2011: On Saturday, in Aden, Aden, Yemen, two concurrent improvised explosive devices exploded along a road linking the Khor Maksar district and the Aden's eastern entrance of al-Alam military checkpoint. The bombs targeted the Army checkpoint only meters away. The blast caused an unknown amount of property damage and no casualties. No group claimed responsibility but officials suspect al-Qaida in the Arabian Peninsula (AQAP)."
"618","09/25/2011: On Sunday evening, in Ja'ar, Abyan, Yemen, unidentified militants removed the hand of a 15 year old boy for allegedly stealing electrical wires as punishment per strict Islamic law. The militants used a sword and cut the boy in front of a crowd, and then drove around the town showing the limb to onlookers. The boy later died from blood loss. The militants also warned that they would be severing the hand of another man for stealing as well. No group claimed responsibility but the militants had been linked to Al Qaeda Organization in the Arabian Peninsula (AQAP)."
"619","09/25/2011: On Sunday morning, at 0930 in Karbala, Karbala, Iraq, in one of three related attacks, an improvised explosive device (IED) exploded in a crowd of civilians and guards, gathered near the front of an office building of Karbala Province’s Council, where its Nationality & Civil Status Department is, issuing ID cards and passports. After authorities arrived on the scene, another three concurrent I.E.D.’s were detonated. Three of the I.E.D.’s were placed in three separate cars, and another was attached to a motorbike. The total damage included the removal of the fronts of several homes and shops in the area. Three people were killed, and 29 people were wounded in the blast. No group claimed responsibility but authorities believe Al Qaeda to be responsible."
"620","09/25/2011: On Sunday morning, at 0930 in Karbala, Karbala, Iraq, in one of three related attacks, an improvised explosive device, (I.E.D.) exploded in a crowd of civilians and guards, gathered near the front of an office building of Karbala Province’s Council, where its Nationality & Civil Status Department is, issuing ID cards and passports. After authorities arrived on the scene, another three concurrent I.E.D.’s were detonated. Three of the I.E.D.’s were placed in three separate cars, and another was attached to a motorbike. The total damage included the removal of the fronts of several homes and shops in the area. Three people were killed, and 28 people were wounded in the blast. No group claimed responsibility but authorities believe Al Qaeda to be responsible."
"621","09/25/2011: On Sunday morning, at 0930 in Karbala, Karbala, Iraq, in one of three related attacks, an improvised explosive device (I.E.D.) exploded in a crowd of civilians and guards, gathered near the front of an office building of Karbala Province’s Council, where its Nationality & Civil Status Department is, issuing ID cards and passports. After authorities arrived on the scene, another three concurrent I.E.D.’s were detonated. Three of the I.E.D.’s were placed in three separate cars, and another was attached to a motorbike. The total damage included the removal of the fronts of several homes and shops in the area. Three people were killed, and 28 people were wounded in the blast. No group claimed responsibility but authorities believe Al Qaeda to be responsible."
"622","09/27/2011: On Tuesday, in Zinjibar, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) gunmen armed with automatic weapons attacked a military patrol. Four soldiers were killed in the attack. No group claimed responsibility."
"623","09/27/2011: On Tuesday, in Aden, Adan, Yemen, a suspected Al Qaeda in the Arabian Peninsula (AQAP) suicide bomber detonated his suicide vehicle borne improvised explosive device targeting the convoy of defense minister, Mohammed Nasser Ahmed. The blast wounded several of Ahmed's guards, and caused an unknown amount of property damage. Ahmed escaped the bombing unhurt. No group claimed responsibility."
"624","10/01/2011: On Saturday, in Albu-Fayath, Buhriz, Diyala, Iraq, unknown gunmen attacked the home of Ammar Samir, a member of al-Sahwa, killing a relative and abducting his sister. The status of the hostage is unknown and there were no demands reported. No group claimed responsibility, however Islamic State of Iraq (Al Qaeda in Iraq) is suspected of the kidnapping."
"625","10/03/2011: On Monday morning at 0900, in Al Baghdadi, Al Anbar, Iraq, after four gunmen entered the police station they rounded up roughly 40 hostages and moved them into some of the rooms of the police station. The gunmen then seized several weapons held in the police station. The hostages were unharmed during three hours of captivity. No casualties or damage resulted from the hostage taking and no group claimed responsibility, however witnesses say the gunmen identified themselves as fighters of the Islamic State of Iraq (Al Qaeda in Iraq)."
"626","10/11/2011: On Tuesday, in Lahij, Lahij, Yemen, a bomb placed inside the car of Colonel Amin al-Shami, an air force pilot instructor, exploded causing an unknown amount of property damage to the car. The Colonel was killed and two technician passengers were wounded in the blast. No group has claimed responsibility although officials believe that Al Qaeda in the Arabian Peninsula (AQAP) is responsible for the attack."
"627","10/11/2011: On Tuesday, near Tizi Ouzou, Tizi Ouzou, Algeria, four people were injured when militants detonated an improvised explosive device targeting civilians. No material damage was reported in the attack. No group has claimed responsibility, but the militant group Al-Qaeda in the Islamic Maghreb (AQIM) is thought to be responsible for the attack."
"628","10/15/2011: On Saturday night, in Aden, Adan, Yemen, a rocket fired by unidentified assailants struck a gasoline pipeline halting the pumping of gas. No casualties reported and the attack caused an unknown amount of damage to the pipeline. No group claimed responsibility for the attack, however al-Qaeda in the Arabian Peninsula (AQAP) is suspected."
"629","10/28/2011: On Friday, in Aden, Adan, Yemen, unknown assailants detonated a vehicle borne improvised explosive device targeting a top police commander, identified as Colonel Ali al-Hajji. The colonel was head of Aden's anti-terrorism unit. The blast killed the colonel and wounded two of his children, while causing an unknown amount of property damage. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility by unknown means."
"630","11/3/2011: Suspected members of Al-Qa ida opened fire on a vehicle driving towards Sanaa in Yemen. The two occupants of the vehicle, including Mohammed al-Haithami Ashal, a member of the consultative council, and an army colonel, were wounded in the attack. Specific motive is unknown; however, local members of Ashal's tribe believe that they are being targeted because they successfully ejected Al-Qa ida from their village."
"631","11/10/2011: Suspected members of Al-Qa ida in the Arabian Peninsula (AQAP) opened fire on a police patrol in al-Mukalla city, Hadramout province, Yemen. The assailants approached the patrol on motorcycles and began firing, killing two police officers and wounding three more. The specific motive behind the incident is unknown."
"632","11/11/2011: Suspected members of Al-Qa ida shot and killed a member of the Al-Sahwa (Awakening) forces near his residence in Muqdadiayh country near Baaquba city, Diyala province, Iraq. The assailants fled following the attack. Specific motive behind the attack is unknown."
"633","11/11/2011: Members of Al-Qa ida publicly whipped five boys in Jaar city, Abyan province, Yemen. The assailants lashed each boy 80 times for suspected drug activity. The incident occurred in a field before a crowd of civilian onlookers; the assailants warned the crowd that they would receive the same punishment if they engaged in drug activity. The boys were released following the whipping."
"634","11/16/2011: Unidentified gunmen shot and killed Colonel Abdulhakim al-Qadi in a busy market in Aden, Adan governorate, Yemen. The victim was a Yemeni senior intelligence officer. The assailants fled and no group claimed responsibility; however, authorities believe that Al-Qa ida in the Arabian Peninsula (AQAP) was involved in the attack."
"635","11/19/2011: Two unidentified gunmen opened fire on a police vehicle in central al-Mukalla city, Hadramout province, Yemen. Major Seaid Lardhi, the director of the Criminal Investigation unit, was killed in the attack; his bodyguard was wounded. No group claimed responsibility for the incident; however, official suspect the involvement of Al-Qa ida in the Arabian Peninsula (AQAP)."
"636","11/20/2011: An explosive device detonated in Abbarah town, Diyala governorate, Iraq. The bomb exploded outside of a civilian home; three civilians were wounded in the blast. No group claimed responsibility for the incident; however, Abbarah is part of an Al-Qa ida stronghold. Specific motive is unknown."
"637","11/21/2011:  Suspected members of Al-Qa ida in the Arabian Peninsula (AQAP) detonated an explosive device on the street in Mudiyah town, Abyan province, Yemen. Two civilians were killed in the explosion; there are no reports concerning injuries or damages. Specific motive is unknown; however, sources speculate that the attack may have been related to the capture of a local AQAP leader earlier the same day."
"638","11/24/2011: Suspected members of Al-Qa ida in the Lands of the Islamic Maghreb (AQLIM) kidnapped two French foreigners from a hotel in Hombori city, Cercle of Douentza, Mali. The two abductees, Phillipe Verdon and Serge Lazarevic, were listed as employees of the Mali-based business Mande Construction Immobiliere; however, both men were suspected of being employed in other ways. Reports from others attributed the two men with a variety of expertise, including military service, security experience, journalism, and geology. The specific motive behind the kidnapping is unknown. The body of Phillipe Verdon was discovered in Mali on July 15, 2013. Serge Lazarevic was released on December 9, 2014."
"639","11/25/2011: Members of Al-Qa ida in the Lands of the Islamic Maghreb (AQLIM) abducted three tourists from Amanar restaurant in the city of Timbuktu, Timbuktu region, Mali. The hostages included Stephen McGown, a South African and British dual national; Johan Gustafson, a Swedish national; and Sjaak Rijke, a Dutch national. A fourth man, a German national, was shot and killed when he resisted getting into the assailants' vehicle. Rijke's wife was also present, but managed to evade capture. Rijke was unexpectedly freed during  an operation by French special forces in April 2015. In June 2015 a video was posted online in which McGown and Gustafson call on the governments of South Africa and Sweden to secure their release, but make no reference to negotiations or ransom. Gustafson was released in June 2017, and McGown was ultimately released in August 2017 following payment of a $4.2 million ransom."
"640","11/29/2011: Suspected members of Al-Qa ida attacked the home of a Muslim cleric in Samarra, Salah ad Din governorate, Iraq. Sheikh Khalid al-Naisani was shot and killed, as was his spouse, child, and two other civilians; there were no reported injuries. Specific motive is unknown."
"641","11/30/2011: Suspected members of Al-Qa ida in the Arabian Peninsula (AQAP) attempted to assassinate a high ranking officer of the special security forces in Aden city, Adan governorate, Yemen. Colonel Taha al-Subihi, in charge of  emergency operations department, was traveling in a vehicle in Khor Maksar district when three unidentified gunmen opened fire upon him. While the Colonel escaped unharmed, two other soldiers were killed in the attack. There were no reported arrests following the attack."
"642","12/2/2011: Colonel Awadh Obead al-Ajil was assassinated and two of his bodyguards were injured in an armed assault in the  Ghaael Bawazir area of Hadramount, Yemen. The colonel was a member of the military intelligence agency. No claim of responsibility was made."
"643","12/4/2011: Al-Qa ida in the Arabian Peninsula (AQAP) militants attacked a military outpost near the town of Zinjibar in Abyan, Yemen. The militants used a combination of rocket propelled grenades (RPG's) and machineguns in the attack, killing five Yemeni soldiers. No information regarding the number wounded or any casualties on the militant's side were reported."
"644","12/4/2011: Major Khaled Salehal-Wasmani, director of the military police investigations service, was assassinated when his car was ambushed by unknown gunmen in the Arka area of Shabwa, Yemen. The Major was on his way to the headquarters of the police investigations agency. It is suspected that Al-Qa ida in the Arabian Peninsula (AQAP) is responsible."
"645","12/7/2011: Suspected members of Al-Qa ida in the Arabian Peninsula (AQAP) attacked a military post near the city of Zinjibar, Abyan province, Yemen. Ten people were killed in the assault, including one soldier and nine assailants. Four additional soldiers were wounded."
"646","12/9/2011: In the province of Shabwa, Yemen, two gunmen fired rocket propelled grenades at the Jannah-Safer oil pipeline. While the pipeline was damaged, no injuries were reported. While no claim for responsibility was reported, it is suspected that Al-Qa ida in the Arabian Peninsula (AQAP) is behind the attack. No motive was reported."
"647","12/16/2011: In the province of Lahj, gunmen opened fire on a car carrying Colonel Saadan Mohammed al-Sufi. A bullet struck him in the head, killing him instantly. There are no reports of any other deaths or injuries. While no claim of responsibility was made, it is suspected that Al-Qa ida in the Arabian Peninsula (AQAP) was involved."
"648","12/22/2011: Two bombs exploded killing two civilians and wounding ten others in the Allawi district of Baghdad, Baghdad, Iraq. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"649","12/22/2011: Three civilians were killed and nine more were wounded when a booby-trapped car detonated on the highway in the Aden district of Baghdad, Baghdad, Iraq. The car had been abandoned by unknown individuals. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"650","12/22/2011: A roadside bomb and a car bomb exploded in the Al-Shurta al-Khamissa district of Baghdad, Baghdad, Iraq. The duel explosions killed five people and wounded 14 others. No claim of responsibility was reported."
"651","12/22/2011: Seven people were killed and 21 were wounded when two roadside bombs detonated near a police patrol in the Amil district of Baghdad, Baghdad, Iraq. Three of those killed were police officers. No property damage was reported. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"652","12/22/2011: Eighteen people were killed and 44 were wounded when a car bomb exploded in the Karrada district of Baghdad, Baghdad, Iraq. No claim of responsibility was reported."
"653","12/22/2011: One person was killed and five people were wounded when a roadside bomb detonated in the Adhamiya district of Baghdad, Baghdad, Iraq. No claim of responsibility was reported."
"654","12/22/2011: One person was killed and six more were wounded when roadside bomb detonated in a vegetable market in the Shula district of Baghdad, Baghdad, Iraq. No claim or responsibility was reported."
"655","12/22/2011: Eight civilians were wounded when two roadside bombs detonated near police patrols in the Shaab district of Baghdad, Baghdad, Iraq. No deaths or claims of responsibility were reported."
"656","12/22/2011: Three people were killed and six were wounded when a car bomb detonated near a market in the Abu Dsheer district of Baghdad, Baghdad, Iraq. No property damage was reported. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"657","12/22/2011: Four people were killed and 14 others were wounded when two roadside bombs detonated near a group of day laborers in the Alawi district of Baghdad, Baghdad, Iraq. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"658","12/22/2011: Two civilians were killed and six were injured when a booby-trapped car detonated on the main highway in the Adhamiya district of Baghdad, Baghdad, Iraq. Several shops were also damaged in the explosion. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"659","12/22/2011: A commander of the Sahwa militia and his family members were killed in Khalis, Diyala, Iraq. The Commander of Northeast Iraq Diala Province and all five of his family members were killed by unknown means. It is believed that Al-Qa ida in Iraq is responsible for the attack, however no official claim of responsibility is reported."
"660","12/22/2011: Three civilians were wounded when an explosive device detonated in the al-Amin district of Baghdad, Baghdad, Iraq. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"661","12/22/2011: One person was killed and another was injured when a Katyusha rocket was fired into a neighborhood in the western area of Baghdad, Baghdad, Iraq. Al-Qa ida in Iraq later claimed responsibility for the attacks."
"662","12/23/2011: Two suicide car bomb attacks occurred in Damascus, Dimashq, Syria. This first attack occurred outside of the General Intelligence Agency. Between the two bombings at least 44 people were killed and 166 were wounded. While no claim of responsibility was reported, it is suspected that al-Qa ida in Iraq was involved."
"663","12/23/2011: Two suicide car bomb attacks occurred in Damascus, Dimashq, Syria. This second attack occurred outside of the military intelligence building. Between the two bombings at least 44 people were killed and 166 were wounded. While no claim of responsibility was reported, it is suspected that al-Qa ida in Iraq was involved."
"664","12/31/2011: Five members of the Sahwa militia were attacked in an armed assault in the town of Khan Bani Saad, Diyala, Iraq. The attackers used guns with silencers. The five members were staffing a check point in the town. While no claim of responsibility was reported, it is believed that al-Qa ida in Iraq may have been responsible."
"665","01/05/2012: A roadside bomb detonated, targeting a convoy of Algerian military vehicles in Fiadh area, Boumerdes province, Algeria. The attack injured two soldiers. No group claimed responsibility for the incident; however, sources attributed it to Al-Qaida in the Islamic Maghreb (AQIM)."
"666","01/11/2012: Assailants opened fire on a van transporting intelligence officials in Aden city, Adan governorate, Yemen. At least one official was killed and seven others were injured in the assault. No group claimed responsibility; however, sources suspect that Al-Qaida in the Arabian Peninsula (AQAP) was behind the attack."
"667","01/15/2012: Assailants pulled two Yemeni soldiers off a bus and shot them dead in Shaqra town, Abyan governorate, Yemen. No group claimed responsibility for the incident; however, sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP) members."
"668","01/16/2012: Three gunmen abducted Mohamed el Aid Khelfi near Debdeb town, Biskra province, Algeria. Khelfi, the Illizi region prefect and top security official, was rescued on January 17, 2012. No group claimed responsibility for the attack; however, authorities attributed it to Al-Qaida in the Islamic Maghreb (AQIM)."
"669","01/18/2012: Gunmen opened fire on the vehicle of General Ghazi Ahmed Ali near Aden University, Aden city, Adan governorate, Yemen. Ali was the head of security and intelligence in Aden. Two bodyguards were injured in the attack, but Ali survived. No group claimed responsibility for the incident, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP); the group had claimed two previous assassination attempts on Ali."
"670","01/20/2012: Assailants attacked a police checkpoint in Aden city, Adan governorate, Yemen. Three officers were killed, and a police vehicle was set on fire. No group claimed responsibility for the attack; however, sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
"671","01/23/2012: Gunmen shot dead Saleh al-Jabri in Dhamar city, Dhamar governorate, Yemen. Al-Jabri was the warden of a Political Security Agency prison and an intelligence officer. No group claimed responsibility for the incident, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP), who have a history of targeting Yemeni intelligence personnel."
"672","01/24/2012: Mulla Nadhim al-Jubouri, a senior leader for the Sahwa militia and an Al-Qa'ida expert, was shot and killed in Jamis neighborhood, Mansour district, Baghdad governorate, Iraq. No group claimed responsibility, but the Interior Ministry accused Al-Qa'ida in Iraq of complicity in the incident."
"673","01/26/2012: Assailants abducted Edgar Raupach on Zaria Road in Kano city, Kano state, Nigeria. Raupach was a German engineer working for Dantata & Sawoe Construction Company. The kidnappers demanded the release of Filiz Gelowicz, also known as Umm Sayf Allah Al-Ansariy. Raupach was shot and stabbed to death by his kidnappers during an attempted rescue operation on May 31, 2012. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident. Sources also suspect that Boko Haram was behind the attack."
"674","01/27/2012: Two gunmen attacked Colonel Mubar Barfah's vehicle at a military checkpoint in Shaher district, Hadramawt governorate, Yemen. Barfah was the city head of police investigations. No group claimed responsibility for the incident, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP), noting that AQAP had launched several attacks on security officials in the previous few months."
"675","01/28/2012: Assailants attacked an army barracks on the eastern suburbs of Zinjibar town, Abyan governorate, Yemen. The attackers used rocket-propelled grenades (RPGs), killing one soldier. Four attackers were killed in retaliatory fire. No group claimed responsibility for the incident, but sources suspected Al-Qa'ida in the Arabian Peninsula (AQAP)."
